ba_gf,num_annotations,num_images
Dead coral__Submassive,1,1
Merulina__Submassive,1,1
Millepora__Encrusting,1,1
Platygyra lamellina,1,1
Echinophyllia aspera,1,1
Echinophyllia__Plates or tables,1,1
Bleached coral__Digitate,1,1
Heliopora__Submassive,1,1
Herpolitha__Mushroom coral,1,1
Pavona varians,1,1
Cliona delitrix,1,1
Palythoa caribaeorum,1,1
Millepora__Foliose,1,1
Ctenactis,1,1
Cycloseris__Branching,1,1
Stylocoeniella,1,1
Stylophora pistillata__Branching,1,1
Agaricia agaricites,1,1
Stylophora__Submassive,1,1
Trachyphyllia,1,1
Astreopora__Foliose,1,1
Barabattoia,1,1
Blastomussa,1,1
Sponge__Branching,1,1
Favia__Submassive,1,1
Faviidae__Encrusting,1,1
Favites abdita,1,1
