name,source,should_map_to_label,should_map_to_label_source,kingdom,phylum,order,family,genus,species,oval,arborescent,encrusting,digitate,meandroid,columnar,free_living,plating,fleshy,submassive,round,massive,tubular,bushy,external_polyps,foliose,solitary,brain,phaceloid,branching,tabular,corymbose,lobed_brain,cup_coral,dead,bleached,algae,background,anthropogenic,trash,transect,macroalgae,dark,class
lobophylliidae dead,coralscapes,,,animalia,cnidaria,scleractinia,lobophylliidae,not_given,not_given,False,False,not given,False,True,not given,not given,not given,not given,True,False,True,False,False,False,False,False,not given,not given,False,False,False,True,False,True,False,False,False,False,False,False,False,False,hexacorallia
massive coral alive,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,False,False,not given,False,not given,not given,not given,not given,not given,True,False,True,False,not given,False,False,False,not given,False,False,False,False,not given,False,False,False,False,False,False,False,False,False,False,hexacorallia
massive coral bleached,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,False,False,not given,False,not given,not given,not given,not given,not given,True,False,True,False,not given,False,False,False,not given,False,False,False,False,not given,False,False,True,False,False,False,False,False,False,False,hexacorallia
massive coral dead,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,False,False,not given,False,not given,not given,not given,not given,not given,True,False,True,False,not given,False,False,False,not given,False,False,False,False,not given,False,True,False,False,False,False,False,False,False,False,hexacorallia
meandering alive,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,False,False,not given,False,True,not given,not given,not given,not given,True,False,True,False,False,False,False,False,not given,not given,False,False,False,not given,False,False,False,False,False,False,False,False,False,False,hexacorallia
meandering bleached,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,False,False,not given,False,True,not given,not given,not given,not given,True,False,True,False,False,False,False,False,not given,not given,False,False,False,not given,False,False,True,False,False,False,False,False,False,False,hexacorallia
meandering dead,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,False,False,not given,False,True,not given,not given,not given,not given,True,False,True,False,False,False,False,False,not given,not given,False,False,False,not given,False,True,False,False,False,False,False,False,False,False,hexacorallia
millepora,coralscapes,,,animalia,cnidaria,anthoathecata,milleporidae,millepora,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,False,False,hydrozoa
millepora bleached,coralscapes,,,animalia,cnidaria,anthoathecata,milleporidae,millepora,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,True,False,False,False,False,False,False,False,hydrozoa
millepora dead,coralscapes,,,animalia,cnidaria,anthoathecata,milleporidae,millepora,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,False,False,False,False,False,False,False,False,hydrozoa
acanthaster planci,mermaid,acanthaster planci,coralscapes,animalia,echinodermata,valvatida,acanthasteridae,acanthaster,acanthaster_planci,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,asteroidea
acanthastrea,mermaid,,,animalia,cnidaria,scleractinia,lobophylliidae,acanthastrea,not_given,False,False,not given,False,not given,not given,not given,False,not given,not given,False,not given,False,not given,False,not given,False,not given,not given,False,not given,False,not given,False,False,False,False,False,False,False,False,False,False,hexacorallia
acanthastrea echinata,mermaid,,,animalia,cnidaria,scleractinia,lobophylliidae,acanthastrea,acanthastrea_echinata,False,False,True,False,not given,not given,not given,False,not given,not given,False,True,False,not given,False,not given,False,not given,not given,False,False,False,not given,False,False,False,False,False,False,False,False,False,False,hexacorallia
acanthastrea hemprichii,mermaid,,,animalia,cnidaria,scleractinia,lobophylliidae,acanthastrea,acanthastrea_hemprichii,False,False,True,False,not given,not given,not given,False,not given,not given,False,True,False,not given,False,not given,False,not given,not given,False,False,False,not given,False,False,False,False,False,False,False,False,False,False,hexacorallia
acanthophora,mermaid,,,not_given,rhodophyta,ceramiales,rhodomelaceae,acanthophora,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,False,False,False,False,not given,False,florideophyceae
acanthophora spicifera,mermaid,,,not_given,rhodophyta,ceramiales,rhodomelaceae,acanthophora,acanthophora_spicifera,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,False,False,False,False,not given,False,florideophyceae
acanthophyllia,mermaid,,,animalia,cnidaria,scleractinia,lobophylliidae,acanthophyllia,not_given,False,False,not given,False,not given,not given,not given,not given,True,not given,False,not given,False,False,False,False,True,not given,not given,False,False,False,True,False,False,False,False,False,False,False,False,False,False,hexacorallia
acetabularia,mermaid,,,plantae,chlorophyta,dasycladales,polyphysaceae,acetabularia,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,True,False,False,False,False,not given,False,ulvophyceae
acropora,mermaid,acropora alive,coralscapes,animalia,cnidaria,scleractinia,acroporidae,acropora,not_given,False,not given,not given,not given,False,False,False,not given,False,False,False,False,False,not given,False,False,False,False,False,True,not given,not given,False,False,False,False,False,False,False,False,False,False,False,hexacorallia
acropora abrolhosensis,mermaid,,,animalia,cnidaria,scleractinia,acroporidae,acropora,acropora_abrolhosensis,False,True,False,not given,False,False,False,not given,False,False,False,False,False,not given,False,False,False,False,False,True,not given,not given,False,False,False,False,False,False,False,False,False,False,False,hexacorallia
acropora abrotanoides,mermaid,,,animalia,cnidaria,scleractinia,acroporidae,acropora,acropora_abrotanoides,False,not given,False,not given,False,False,False,not given,False,False,False,False,False,not given,False,False,False,False,False,True,not given,not given,False,False,False,False,False,False,False,False,False,False,False,hexacorallia
acropora aculeus,mermaid,,,animalia,cnidaria,scleractinia,acroporidae,acropora,acropora_aculeus,False,False,False,not given,False,False,False,False,False,False,False,False,False,not given,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,hexacorallia
