Source,Num Annotations,Num Images,Num Unique Labels
s6698/,17250,345,53
s6699/,92650,1853,59
s6700/,29850,597,54
s6702/,17784,1368,50
s6704/,2880,96,5
s6712/,35820,1194,12
s6713/,199950,3999,37
s6714/,92100,1842,10
s6715/,0,0,0
s6716/,85150,1703,62
s6717/,27850,557,57
s6721/,23900,478,55
s6722/,9900,198,48
s6724/,7500,150,36
s6725/,7500,150,37
s6726/,7500,150,38
s6727/,7500,150,37
s6730/,4800,48,11
s6733/,131250,2625,64
s6737/,0,0,0
s6744/,250,5,5
s6754/,0,0,0
s6763/,31400,628,12
s6770/,1520,76,31
s6775/,23900,478,10
s6776/,112,3,12
s6778/,0,0,0
s6779/,9000,450,7
s6785/,3528,36,12
s6787/,0,0,0
s6789/,0,0,0
s6792/,600,20,3
s6794/,6875,275,64
s6801/,360,18,4
s6802/,9440,944,19
s6805/,23900,478,2
s6806/,85150,1703,2
s6807/,9800,196,2
s6808/,27980,560,2
s6815/,7400,148,2
s6816/,7500,150,2
s6817/,7500,150,2
s6818/,7500,150,2
s6820/,560,35,5
s6825/,2000,100,7
s683/,202400,1840,20
s6831/,700,35,4
s6833/,340,17,3
s6834/,9900,198,39
s6835/,85150,1703,49
s6837/,520,26,2
s6838/,23900,478,45
s6839/,27950,559,45
s6840/,520,40,13
s6843/,7500,150,34
s6844/,7500,150,35
s6845/,7500,150,33
s6846/,7500,150,35
s6848/,520,40,12
s6850/,1400,14,33
s6854/,100,2,12
s6855/,146900,2938,70
s6856/,816,51,28
s6857/,816,51,15
s6864/,78180,2606,14
s6865/,10,1,3
s6866/,0,0,0
s6867/,146900,2938,2
s6868/,146900,2938,52
s6872/,0,0,0
s6873/,6060,202,4
s6875/,520,40,11
s6876/,520,40,11
s6877/,520,40,13
s6878/,520,40,15
s6879/,520,40,15
s6880/,520,40,13
s6881/,520,40,12
s6882/,520,40,14
s6883/,520,40,14
s6884/,520,40,14
s6885/,520,40,14
s6886/,520,40,14
s6887/,520,40,11
s6888/,520,40,16
s6889/,520,40,13
s6890/,520,40,12
s6892/,3600,120,9
s6894/,2500,50,17
s6895/,500,50,18
s6897/,520,40,12
s6899/,520,40,13
s69/,4000,100,5
s6907/,3125,125,18
s6911/,1100,22,18
s6917/,520,40,20
s6918/,2200,44,48
s6919/,4400,88,52
s6920/,8850,177,55
s6921/,18300,366,61
s6922/,36700,734,63
s6923/,73450,1469,64
s6924/,146800,2936,70
s6925/,520,40,18
s6926/,2200,44,32
s6927/,4400,88,39
s6928/,8800,176,42
s6929/,18350,367,47
s6930/,36700,734,50
s6931/,73450,1469,51
s6932/,146800,2936,52
s6933/,520,40,21
s6937/,29850,597,10
s6938/,29850,597,7
s6939/,29850,597,2
s6941/,2200,44,2
s6942/,4400,88,2
s6943/,8850,177,2
s6944/,18350,367,2
s6945/,36650,733,2
s6946/,73350,1467,2
s6947/,146800,2936,2
s6951/,91500,1350,61
s6954/,500,20,4
s6956/,127000,2060,70
s6957/,520,40,20
s6959/,750,15,7
s6960/,750,15,7
s6961/,750,15,7
s6962/,750,15,7
s6965/,122255,2495,14
s6968/,10282,406,50
s6983/,33300,444,2
s6986/,12941,318,11
s6987/,0,0,0
s6989/,50,2,4
s6990/,50,2,7
s6993/,50,2,9
s6994/,50,2,5
s6995/,50,2,5
s6997/,520,40,20
s6999/,0,0,0
s70/,12000,300,16
s7005/,48,4,12
s7010/,468,13,9
s7019/,520,40,17
s7020/,520,40,15
s7021/,520,40,19
s7024/,520,40,14
s7025/,3750,75,8
s7027/,33225,443,30
s7031/,520,40,18
s7033/,31800,424,28
s7034/,31800,424,2
s7036/,520,40,10
s7037/,520,40,9
s7038/,30,1,5
s7040/,7140,357,12
s7049/,76672,1198,20
s7050/,200,2,9
s7054/,14550,291,35
s7058/,6690,223,28
s7063/,60000,1200,11
s7067/,0,0,0
s7068/,533,41,14
s7069/,533,41,14
s7071/,1100,22,30
s7072/,1100,22,32
s7073/,533,41,17
s7074/,533,41,13
s7075/,24750,330,29
s7076/,8475,113,11
s7077/,520,40,15
s7078/,520,40,12
s7079/,520,40,12
s7080/,520,40,18
s7081/,520,40,13
s7082/,520,40,15
s7083/,520,40,11
s7084/,520,40,12
s7085/,520,40,13
s7086/,520,40,16
s7087/,520,40,11
s7088/,520,40,14
s7099/,1500,50,23
s7104/,29100,388,30
s7114/,1500,50,22
s7116/,84606,4424,48
s7118/,150,2,6
s7121/,16000,320,16
s7126/,0,0,0
s7130/,0,0,0
s7132/,2400,24,13
s7163/,2400,96,14
s7164/,2400,96,13
s7166/,6750,225,21
s7172/,0,0,0
s7176/,330930,11031,38
s7179/,1600,16,14
s7190/,8000,125,15
s7191/,1200,60,11
s7205/,63000,2100,12
s7209/,4900,49,11
s7211/,7350,150,4
s7212/,23275,475,15
s7213/,4000,200,7
s7218/,2250,90,18
s7221/,2250,90,17
s7238/,0,0,0
s7252/,34,7,12
s7254/,33,7,7
s7259/,1600,80,6
s7274/,30,1,4
s7277/,1,1,1
s7309/,3600,144,17
s7313/,64,1,7
s7317/,0,0,0
s7321/,1000,50,26
s7323/,30,1,5
s7333/,60,2,9
s7342/,150,5,7
s7352/,23900,478,3
s7354/,7500,150,3
s7358/,2020,101,10
s7391/,1500,50,17
s7408/,300,10,16
s7410/,1500,50,11
s7413/,1500,50,21
s7416/,450,15,20
s7417/,23900,478,2
s7418/,23900,478,2
s7419/,23900,478,2
s7420/,450,15,17
s7428/,0,0,0
s7430/,300,10,15
s7435/,9900,198,3
s7436/,27950,559,3
s7437/,85150,1703,3
s7439/,500,5,4
s7447/,7500,150,3
s7448/,7500,150,3
s7449/,7500,150,3
s7460/,1,1,1
s7461/,0,0,0
s7462/,179,9,19
s747/,360,18,31
s7482/,4900,98,32
s7483/,4900,98,2
s7486/,0,0,0
s7494/,30,1,4
s7513/,2400,96,18
s7519/,1575,63,6
s7525/,60,2,4
s793/,61850,1237,28
s800/,435800,4358,36
s82/,0,0,0
s841/,58200,3880,75
s842/,93739,2592,3
s843/,56400,2820,64
s921/,3150,105,27
s958/,1650,55,20
