Latitude,Longitude,Depth,Date,Source ID
3.090083,72.967917,10.0,2024-12-13,s6029
3.090083,72.967917,11.2,2024-12-13,s6029
3.090083,72.967917,10.6,2024-12-13,s6029
3.090083,72.967917,10.7,2024-12-13,s6029
18.34615,-64.598883,,2024-09-25,s6031
-54.06459,-70.04569,,2024-10-05,s6116
-54.06461667,-70.04568167,,2024-10-05,s6116
-54.06461667,-70.04568,,2024-10-05,s6116
,,,2025-05-16,s6118
,,,2025-01-31,s6150
,,,2024-06-04,s6153
,,,2024-10-02,s6153
,,,2017-01-23,s616
,,,2017-01-23,s620
,,10,2024-11-13,s6201
,,45,2024-12-18,s6202
,,25,2024-12-02,s6203
,,,2025-02-01,s6210
,,,2025-02-28,s6215
,,10.0,2025-02-19,s6229
,,30,2024-05-29,s6242
,,1,2025-01-23,s6288
12.3751,-69.1574,10,2025-02-19,s6297
,,,2024-11-27,s6352
,,,2024-11-27,s6353
,,,2025-02-23,s6366
,,,2025-04-20,s6366
,,,2025-03-04,s6366
,,,2025-03-17,s6391
23.624633,-166.115632,20.2692,2024-09-13,s6405
18.499483,-64.414017,13.2,2024-09-24,s6426
18.499483,-64.414017,15.2,2024-09-24,s6426
18.499483,-64.414017,13.0,2024-09-24,s6426
18.499483,-64.414017,10.7,2024-09-24,s6426
,,,2025-04-11,s6444
,,,2025-04-18,s6444
,,,2015-03-09,s6447
,,,2015-03-10,s6447
,,,2025-04-23,s6453
,,,2023-04-23,s6453
,,"5,64",2025-03-12,s6470
,,"3,58",2025-03-12,s6470
,,"2,26",2025-03-12,s6470
,,"2,9",2025-03-12,s6470
,,,2012-01-11,s6477
,,,2017-05-01,s648
,,,2025-04-18,s6502
,,,2025-06-15,s6503
,,,2025-04-12,s6522
,,"4,3",2025-04-22,s6577
,,"2,85",2025-04-22,s6577
,,"5,47",2025-04-22,s6577
,,"3,41",2025-04-22,s6577
21.26336,-89.7413,,2025-05-01,s6583
21.263361,-89.741389,,2025-05-01,s6583
,,,2025-05-08,s6598
23.52125,58.7501,,2024-05-20,s6625
,,,2024-12-10,s6641
,,40R,2025-05-22,s6690
,,,2025-05-22,s6691
,,,2025-05-22,s6694
28.394166,34.736432,2,2024-10-07,s6714
,,,2025-06-10,s6770
,,1,2024-07-11,s6776
,,,2025-05-15,s6792
,,10,2024-06-06,s6794
,,,2025-05-28,s6820
,,,2016-07-04,s683
,,,2025-05-07,s6848
,,25,2025-05-08,s6856
,,10,2025-05-08,s6857
22.6437,121.48309,5m,2025-05-27,s6864
-35.633243,-54.313987,15.0,,s6873
-35.6314,-54.311307,15.0,,s6873
-35.6333,-54.316667,15.0,,s6873
-35.96314,-54.793719,15.0,,s6873
-35.961297,-54.791039,15.0,,s6873
,,,2025-05-07,s6882
,,,2024-04-16,s6895
,,,2025-05-07,s6897
,,,2025-05-07,s6899
,,,2013-01-21,s69
22.13519,-159.2673,5 ft,2025-05-26,s6907
21.89729,159.60742,4,2025-06-21,s6907
21.525,-159.2824,9 ft,2025-06-22,s6907
22.12331,-159.20247,4 ft,2025-05-26,s6907
21.52377,-159.27255,3 ft,2025-05-26,s6907
,,,2025-05-07,s6917
,,,2025-05-07,s6925
,,,2025-05-07,s6933
,,,2025-05-07,s6957
,,,2024-06-15,s6968
,,,2025-05-13,s6997
,,,2013-01-25,s70
20.816031,-92.285832,15,,s7005
20.830737,-86.87265,8,,s7005
,,1.5,2025-07-20,s7010
,,,2025-05-13,s7019
,,,2025-05-13,s7020
,,,2025-05-13,s7021
,,,2025-05-13,s7024
,,,2025-05-13,s7031
,,,2025-05-13,s7036
,,,2025-05-13,s7037
-23.5059533,152.08959965,,2025-07-12,s7040
,,,2025-08-07,s7054
,,,2025-08-06,s7054
,,,2025-05-08,s7063
,,,2024-08-28,s7116
,,,2015-04-27,s7176
,,,2025-08-29,s7191
22.08209,121.51653,10m,2025-06-24,s7205
20.830737,-86.87265,8.0,,s7252
20.830737,-86.87265,8.0,,s7254
,,12,,s7358
22.0,114.35645,4.0,2017-10-23,s793
,,5,2017-09-25,s841
,,6,2017-09-29,s841
,,,2015-12-04,s842
,,,2019-01-19,s843
,,,2018-02-22,s921
-4.789722,119.296667,5-7 meters,2017-06-29,s958
-4.789722,119.296667,5-7 meters,2017-07-29,s958
